 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,NOR1-3B_points.jpg,0,114,114,114,2448.667,594.667,2448.500,594.500,0.000,0.000,0.000,NaN
2,NOR1-3B_points.jpg,0,114,114,114,2488.667,530.667,2488.500,530.500,0.000,0.000,0.000,NaN
3,NOR1-3B_points.jpg,0,150,150,150,2488.667,548.667,2488.500,548.500,0.000,0.000,0.000,NaN
4,NOR1-3B_points.jpg,0,105,105,105,2511.333,477.333,2511.500,477.500,0.000,0.000,0.000,NaN
5,NOR1-3B_points.jpg,0,139,139,139,2523.333,475.333,2523.500,475.500,0.000,0.000,0.000,NaN
6,NOR1-3B_points.jpg,0,105,105,105,2530.000,606.667,2530.500,606.500,0.000,0.000,0.000,NaN
7,NOR1-3B_points.jpg,0,106,106,106,2582.000,542.000,2582.500,542.500,0.000,0.000,0.000,NaN
8,NOR1-3B_points.jpg,0,138,138,138,2272.000,1429.333,2272.500,1429.500,0.000,0.000,0.000,NaN
9,NOR1-3B_points.jpg,0,93,93,93,2286.667,1393.333,2286.500,1393.500,0.000,0.000,0.000,NaN
10,NOR1-3B_points.jpg,0,131,131,131,2290.667,1405.333,2290.500,1405.500,0.000,0.000,0.000,NaN
11,NOR1-3B_points.jpg,0,120,120,120,974.667,1947.333,974.500,1947.500,0.000,0.000,0.000,NaN
12,NOR1-3B_points.jpg,0,94,94,94,984.000,1983.333,984.500,1983.500,0.000,0.000,0.000,NaN
13,NOR1-3B_points.jpg,0,127,127,127,984.000,1991.333,984.500,1991.500,0.000,0.000,0.000,NaN
14,NOR1-3B_points.jpg,0,125,125,125,984.000,2016.667,984.500,2016.500,0.000,0.000,0.000,NaN
15,NOR1-3B_points.jpg,0,95,95,95,1040.000,1983.333,1040.500,1983.500,0.000,0.000,0.000,NaN
16,NOR1-3B_points.jpg,0,128,128,128,1040.000,2016.667,1040.500,2016.500,0.000,0.000,0.000,NaN
17,NOR1-3B_points.jpg,0,114,114,114,1173.333,3188.667,1173.500,3188.500,0.000,0.000,0.000,NaN
18,NOR1-3B_points.jpg,0,123,123,123,1202.667,3130.000,1202.500,3130.500,0.000,0.000,0.000,NaN
19,NOR1-3B_points.jpg,0,148,148,148,2466.667,566.333,2466.500,566.500,0.000,0.000,0.000,NaN
20,NOR1-3B_points.jpg,0,97,97,97,2477.333,577.000,2477.500,577.500,0.000,0.000,0.000,NaN
21,NOR1-3B_points.jpg,0,129,129,129,2481.333,619.667,2481.500,619.500,0.000,0.000,0.000,NaN
22,NOR1-3B_points.jpg,0,129,129,129,2490.667,617.000,2490.500,617.500,0.000,0.000,0.000,NaN
23,NOR1-3B_points.jpg,0,85,85,85,2708.000,490.333,2708.500,490.500,0.000,0.000,0.000,NaN
24,NOR1-3B_points.jpg,0,137,137,137,2722.667,483.667,2722.500,483.500,0.000,0.000,0.000,NaN
25,NOR1-3B_points.jpg,0,127,127,127,2081.333,1111.667,2081.500,1111.500,0.000,0.000,0.000,NaN
26,NOR1-3B_points.jpg,0,123,123,123,2105.333,823.667,2105.500,823.500,0.000,0.000,0.000,NaN
27,NOR1-3B_points.jpg,0,141,141,141,1157.333,3060.333,1157.500,3060.500,0.000,0.000,0.000,NaN
28,NOR1-3B_points.jpg,0,99,99,99,1190.667,3159.000,1190.500,3159.500,0.000,0.000,0.000,NaN
29,NOR1-3B_points.jpg,0,72,72,72,1193.333,4683.667,1193.500,4683.500,0.000,0.000,0.000,NaN
30,NOR1-3B_points.jpg,0,95,95,95,1345.333,4725.000,1345.500,4725.500,0.000,0.000,0.000,NaN
31,NOR1-3B_points.jpg,0,71,71,71,1377.333,4665.000,1377.500,4665.500,0.000,0.000,0.000,NaN
32,NOR1-3B_points.jpg,0,92,92,92,1554.667,4810.333,1554.500,4810.500,0.000,0.000,0.000,NaN
33,NOR1-3B_points.jpg,0,95,95,95,1325.333,2775.000,1325.500,2775.500,0.000,0.000,0.000,NaN
34,NOR1-3B_points.jpg,0,125,125,125,832.000,1637.667,832.500,1637.500,0.000,0.000,0.000,NaN
35,NOR1-3B_points.jpg,0,134,134,134,1138.667,1131.000,1138.500,1131.500,0.000,0.000,0.000,NaN
36,NOR1-3B_points.jpg,0,140,140,140,729.333,1164.333,729.500,1164.500,0.000,0.000,0.000,NaN
37,NOR1-3B_points.jpg,0,137,137,137,1145.333,1172.333,1145.500,1172.500,0.000,0.000,0.000,NaN
38,NOR1-3B_points.jpg,0,137,137,137,1181.333,1235.000,1181.500,1235.500,0.000,0.000,0.000,NaN
39,NOR1-3B_points.jpg,0,125,125,125,1097.333,1241.667,1097.500,1241.500,0.000,0.000,0.000,NaN
40,NOR1-3B_points.jpg,0,124,124,124,884.000,1403.000,884.500,1403.500,0.000,0.000,0.000,NaN
41,NOR1-3B_points.jpg,0,100,100,100,937.333,1457.667,937.500,1457.500,0.000,0.000,0.000,NaN
42,NOR1-3B_points.jpg,0,129,129,129,1193.333,1415.000,1193.500,1415.500,0.000,0.000,0.000,NaN
43,NOR1-3B_points.jpg,0,129,129,129,1216.000,1399.000,1216.500,1399.500,0.000,0.000,0.000,NaN
44,NOR1-3B_points.jpg,0,133,133,133,1276.000,1647.000,1276.500,1647.500,0.000,0.000,0.000,NaN
45,NOR1-3B_points.jpg,0,133,133,133,1037.333,1708.333,1037.500,1708.500,0.000,0.000,0.000,NaN
46,NOR1-3B_points.jpg,0,133,133,133,772.000,2287.000,772.500,2287.500,0.000,0.000,0.000,NaN
47,NOR1-3B_points.jpg,0,134,134,134,789.333,2367.000,789.500,2367.500,0.000,0.000,0.000,NaN
48,NOR1-3B_points.jpg,0,136,136,136,624.000,2485.667,624.500,2485.500,0.000,0.000,0.000,NaN
